id,year,state_name,state_code,district_name,district_code,registration_circles,protection_of_civil_rights_act,murder,attempt_to_commit_murder,rape,attempt_to_commit_rape,assault_on_women,insult_to_the_modesty_of_women,kidnapping_and_abduction,dacoity,robbery,arson,grievous_hurt,riots,other_ipc_crimes,sc_st_prevention_of_atrocities
413,2016,Maharashtra,27,Dhule,474,Dhule,0,1,1,2,0,2,0,1,0,0,0,0,6,2,6
414,2016,Maharashtra,27,Gadchiroli,475,Gadchiroli,0,0,0,3,0,2,0,0,0,0,0,1,0,2,1
415,2016,Maharashtra,27,Gondia,476,Gondia,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
416,2016,Maharashtra,27,Hingoli,477,Hingoli,0,0,0,1,0,0,0,1,0,0,0,1,0,2,0
417,2016,Maharashtra,27,Jalgaon,478,Jalgaon,0,1,1,0,0,4,0,1,0,0,0,0,4,2,1
418,2016,Maharashtra,27,Jalna,479,Jalna,0,1,0,0,0,3,0,0,0,0,0,0,2,1,0
419,2016,Maharashtra,27,Kolhapur,480,Kolhapur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
420,2016,Maharashtra,27,Latur,481,Latur,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
421,2016,Maharashtra,27,Mumbai,482,Mumbai Commr.,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
422,2016,Maharashtra,27,Mumbai,482,Mumbai Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,2016,Maharashtra,27,Nagpur,484,Nagpur Commr.,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
424,2016,Maharashtra,27,Nagpur,484,Nagpur Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,2016,Maharashtra,27,Nagpur,484,Nagpur Rural,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0
426,2016,Maharashtra,27,Nanded,485,Nanded,0,0,0,5,0,4,0,1,0,0,0,0,0,7,3
427,2016,Maharashtra,27,Nandurbar,486,Nandurbar,0,0,0,0,0,5,0,0,0,0,0,0,4,0,4
428,2016,Maharashtra,27,Nashik,487,Nasik Commr.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
429,2016,Maharashtra,27,Nashik,487,Nasik Rural,0,1,0,2,0,9,0,2,0,0,0,4,4,7,2
430,2016,Maharashtra,27,Mumbai Suburban,483,Navi Mumbai,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
431,2016,Maharashtra,27,Osmanabad,488,Osmanabad,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0
432,2016,Maharashtra,27,Palghar,665,Palghar,0,0,0,0,0,5,0,0,0,0,0,1,1,6,2
433,2016,Maharashtra,27,Parbhani,489,Parbhani,0,0,0,0,0,1,0,0,0,0,0,0,3,3,0
434,2016,Maharashtra,27,Pune,490,Pune Commr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
435,2016,Maharashtra,27,Pune,490,Pune Railway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,2016,Maharashtra,27,Pune,490,Pune Rural,0,3,1,2,0,3,0,0,0,0,0,0,2,3,0
437,2016,Maharashtra,27,Raigad,491,Raigad,0,1,0,1,0,3,0,0,0,0,0,0,2,6,1
